{'loss': 1.6417, 'grad_norm': 0.00020267658692318946, 'learning_rate': 4.991158267020336e-05, 'epoch': 0.01}
{'loss': 1.1722, 'grad_norm': 0.07049267739057541, 'learning_rate': 4.9823165340406724e-05, 'epoch': 0.01}
{'loss': 0.9526, 'grad_norm': 105.93366241455078, 'learning_rate': 4.9734748010610085e-05, 'epoch': 0.02}
{'loss': 1.5358, 'grad_norm': 81.86032104492188, 'learning_rate': 4.964633068081344e-05, 'epoch': 0.02}
{'loss': 0.89, 'grad_norm': 11.520940780639648, 'learning_rate': 4.95579133510168e-05, 'epoch': 0.03}
{'loss': 1.4122, 'grad_norm': 93.56287384033203, 'learning_rate': 4.946949602122016e-05, 'epoch': 0.03}
{'loss': 0.8388, 'grad_norm': 13.025020599365234, 'learning_rate': 4.938107869142352e-05, 'epoch': 0.04}
{'loss': 0.6073, 'grad_norm': 12.015397071838379, 'learning_rate': 4.9292661361626876e-05, 'epoch': 0.04}
{'loss': 0.6379, 'grad_norm': 34.18637466430664, 'learning_rate': 4.9204244031830244e-05, 'epoch': 0.05}
{'loss': 0.6191, 'grad_norm': 27.403017044067383, 'learning_rate': 4.9115826702033605e-05, 'epoch': 0.05}
{'loss': 0.5324, 'grad_norm': 5.878283500671387, 'learning_rate': 4.902740937223696e-05, 'epoch': 0.06}
{'loss': 0.6336, 'grad_norm': 0.5280489921569824, 'learning_rate': 4.893899204244032e-05, 'epoch': 0.06}
{'loss': 0.5091, 'grad_norm': 5.370936870574951, 'learning_rate': 4.885057471264368e-05, 'epoch': 0.07}
{'loss': 0.7379, 'grad_norm': 22.839662551879883, 'learning_rate': 4.876215738284704e-05, 'epoch': 0.07}
{'loss': 0.6755, 'grad_norm': 20.371078491210938, 'learning_rate': 4.8673740053050396e-05, 'epoch': 0.08}
{'loss': 0.6554, 'grad_norm': 24.228313446044922, 'learning_rate': 4.8585322723253763e-05, 'epoch': 0.08}
{'loss': 0.531, 'grad_norm': 3.377225875854492, 'learning_rate': 4.849690539345712e-05, 'epoch': 0.09}
{'loss': 0.594, 'grad_norm': 6.285460472106934, 'learning_rate': 4.840848806366048e-05, 'epoch': 0.1}
{'loss': 0.4947, 'grad_norm': 4.639786243438721, 'learning_rate': 4.832007073386384e-05, 'epoch': 0.1}
{'loss': 0.657, 'grad_norm': 0.5710601210594177, 'learning_rate': 4.82316534040672e-05, 'epoch': 0.11}
{'loss': 0.6028, 'grad_norm': 5.7095627784729, 'learning_rate': 4.814323607427056e-05, 'epoch': 0.11}
{'loss': 0.5067, 'grad_norm': 9.853218078613281, 'learning_rate': 4.8054818744473915e-05, 'epoch': 0.12}
{'loss': 0.5037, 'grad_norm': 4.6981587409973145, 'learning_rate': 4.796640141467728e-05, 'epoch': 0.12}
{'loss': 0.5841, 'grad_norm': 6.540934085845947, 'learning_rate': 4.787798408488064e-05, 'epoch': 0.13}
{'loss': 0.6272, 'grad_norm': 37.46025085449219, 'learning_rate': 4.7789566755084e-05, 'epoch': 0.13}
{'loss': 0.8321, 'grad_norm': 83.96279907226562, 'learning_rate': 4.770114942528736e-05, 'epoch': 0.14}
{'loss': 0.4749, 'grad_norm': 11.993230819702148, 'learning_rate': 4.761273209549072e-05, 'epoch': 0.14}
{'loss': 0.5559, 'grad_norm': 2.950904369354248, 'learning_rate': 4.752431476569408e-05, 'epoch': 0.15}
{'loss': 0.739, 'grad_norm': 1.7484248876571655, 'learning_rate': 4.7435897435897435e-05, 'epoch': 0.15}
{'loss': 1.2287, 'grad_norm': 15.311935424804688, 'learning_rate': 4.73474801061008e-05, 'epoch': 0.16}
{'loss': 0.5237, 'grad_norm': 56.7426872253418, 'learning_rate': 4.725906277630416e-05, 'epoch': 0.16}
{'loss': 1.0437, 'grad_norm': 58.00082015991211, 'learning_rate': 4.717064544650752e-05, 'epoch': 0.17}
{'loss': 0.9424, 'grad_norm': 95.02154541015625, 'learning_rate': 4.708222811671088e-05, 'epoch': 0.18}
{'loss': 0.3902, 'grad_norm': 2.8599233627319336, 'learning_rate': 4.699381078691424e-05, 'epoch': 0.18}
{'loss': 1.1119, 'grad_norm': 111.53118896484375, 'learning_rate': 4.6905393457117594e-05, 'epoch': 0.19}
{'loss': 0.8783, 'grad_norm': 30.789051055908203, 'learning_rate': 4.6816976127320955e-05, 'epoch': 0.19}
{'loss': 0.5733, 'grad_norm': 8.786299705505371, 'learning_rate': 4.6728558797524316e-05, 'epoch': 0.2}
{'loss': 0.6891, 'grad_norm': 2.510525703430176, 'learning_rate': 4.6640141467727676e-05, 'epoch': 0.2}
{'loss': 0.5526, 'grad_norm': 17.93295669555664, 'learning_rate': 4.655172413793104e-05, 'epoch': 0.21}
{'loss': 0.6249, 'grad_norm': 8.256714820861816, 'learning_rate': 4.64633068081344e-05, 'epoch': 0.21}
{'loss': 0.5806, 'grad_norm': 22.893125534057617, 'learning_rate': 4.637488947833776e-05, 'epoch': 0.22}
{'loss': 0.5093, 'grad_norm': 35.112831115722656, 'learning_rate': 4.628647214854111e-05, 'epoch': 0.22}
{'loss': 0.4034, 'grad_norm': 16.741872787475586, 'learning_rate': 4.6198054818744474e-05, 'epoch': 0.23}
{'loss': 0.2808, 'grad_norm': 12.67326831817627, 'learning_rate': 4.6109637488947835e-05, 'epoch': 0.23}
{'loss': 0.7728, 'grad_norm': 1.1164370775222778, 'learning_rate': 4.6021220159151196e-05, 'epoch': 0.24}
{'loss': 0.7278, 'grad_norm': 0.3686336576938629, 'learning_rate': 4.593280282935456e-05, 'epoch': 0.24}
{'loss': 1.7177, 'grad_norm': 139.6019287109375, 'learning_rate': 4.584438549955792e-05, 'epoch': 0.25}
{'loss': 0.7492, 'grad_norm': 1.2050671577453613, 'learning_rate': 4.575596816976128e-05, 'epoch': 0.25}
{'loss': 0.7437, 'grad_norm': 2.2549538612365723, 'learning_rate': 4.566755083996463e-05, 'epoch': 0.26}
{'loss': 0.705, 'grad_norm': 18.055309295654297, 'learning_rate': 4.5579133510167994e-05, 'epoch': 0.27}
{'loss': 0.3281, 'grad_norm': 10.168989181518555, 'learning_rate': 4.5490716180371355e-05, 'epoch': 0.27}
{'loss': 0.5443, 'grad_norm': 7.769318103790283, 'learning_rate': 4.5402298850574716e-05, 'epoch': 0.28}
{'loss': 0.4283, 'grad_norm': 9.656214714050293, 'learning_rate': 4.531388152077807e-05, 'epoch': 0.28}
{'loss': 0.5009, 'grad_norm': 16.74496078491211, 'learning_rate': 4.522546419098144e-05, 'epoch': 0.29}
{'loss': 0.5384, 'grad_norm': 12.80228328704834, 'learning_rate': 4.51370468611848e-05, 'epoch': 0.29}
{'loss': 0.4784, 'grad_norm': 27.74488639831543, 'learning_rate': 4.504862953138815e-05, 'epoch': 0.3}
{'loss': 0.3516, 'grad_norm': 4.969069480895996, 'learning_rate': 4.4960212201591514e-05, 'epoch': 0.3}
{'loss': 0.341, 'grad_norm': 0.14992067217826843, 'learning_rate': 4.4871794871794874e-05, 'epoch': 0.31}
{'loss': 1.157, 'grad_norm': 24.762922286987305, 'learning_rate': 4.4783377541998235e-05, 'epoch': 0.31}
{'loss': 1.0604, 'grad_norm': 46.622459411621094, 'learning_rate': 4.469496021220159e-05, 'epoch': 0.32}
{'loss': 0.5479, 'grad_norm': 7.911799907684326, 'learning_rate': 4.460654288240496e-05, 'epoch': 0.32}
{'loss': 0.4517, 'grad_norm': 103.21728515625, 'learning_rate': 4.451812555260831e-05, 'epoch': 0.33}
{'loss': 0.4133, 'grad_norm': 0.9104767441749573, 'learning_rate': 4.442970822281167e-05, 'epoch': 0.33}
{'loss': 0.8507, 'grad_norm': 6.7844929695129395, 'learning_rate': 4.434129089301503e-05, 'epoch': 0.34}
{'loss': 0.3749, 'grad_norm': 31.592185974121094, 'learning_rate': 4.4252873563218394e-05, 'epoch': 0.34}
{'loss': 0.1041, 'grad_norm': 0.9246577024459839, 'learning_rate': 4.4164456233421755e-05, 'epoch': 0.35}
{'loss': 0.8962, 'grad_norm': 37.12343215942383, 'learning_rate': 4.407603890362511e-05, 'epoch': 0.36}
{'loss': 0.751, 'grad_norm': 57.77836990356445, 'learning_rate': 4.398762157382848e-05, 'epoch': 0.36}
{'loss': 0.3776, 'grad_norm': 0.30240780115127563, 'learning_rate': 4.389920424403183e-05, 'epoch': 0.37}
{'loss': 0.552, 'grad_norm': 2.421907424926758, 'learning_rate': 4.381078691423519e-05, 'epoch': 0.37}
{'loss': 0.6592, 'grad_norm': 16.878347396850586, 'learning_rate': 4.372236958443855e-05, 'epoch': 0.38}
{'loss': 0.3581, 'grad_norm': 33.26044845581055, 'learning_rate': 4.3633952254641914e-05, 'epoch': 0.38}
{'loss': 0.3811, 'grad_norm': 3.809709310531616, 'learning_rate': 4.3545534924845275e-05, 'epoch': 0.39}
{'loss': 0.4988, 'grad_norm': 0.1139228492975235, 'learning_rate': 4.345711759504863e-05, 'epoch': 0.39}
{'loss': 0.3977, 'grad_norm': 17.173480987548828, 'learning_rate': 4.3368700265251996e-05, 'epoch': 0.4}
{'loss': 0.5189, 'grad_norm': 4.158873081207275, 'learning_rate': 4.328028293545535e-05, 'epoch': 0.4}
{'loss': 0.4842, 'grad_norm': 8.456515312194824, 'learning_rate': 4.319186560565871e-05, 'epoch': 0.41}
{'loss': 0.3704, 'grad_norm': 6.681373596191406, 'learning_rate': 4.3103448275862066e-05, 'epoch': 0.41}
{'loss': 0.4105, 'grad_norm': 10.04442024230957, 'learning_rate': 4.301503094606543e-05, 'epoch': 0.42}
{'loss': 0.3811, 'grad_norm': 1.1883742809295654, 'learning_rate': 4.292661361626879e-05, 'epoch': 0.42}
{'loss': 0.5876, 'grad_norm': 14.312424659729004, 'learning_rate': 4.283819628647215e-05, 'epoch': 0.43}
{'loss': 0.5948, 'grad_norm': 48.26203536987305, 'learning_rate': 4.274977895667551e-05, 'epoch': 0.44}
{'loss': 0.6524, 'grad_norm': 15.221277236938477, 'learning_rate': 4.266136162687887e-05, 'epoch': 0.44}
{'loss': 0.6347, 'grad_norm': 17.63420295715332, 'learning_rate': 4.257294429708223e-05, 'epoch': 0.45}
{'loss': 0.7886, 'grad_norm': 3.2337255477905273, 'learning_rate': 4.248452696728559e-05, 'epoch': 0.45}
{'loss': 0.4212, 'grad_norm': 12.673186302185059, 'learning_rate': 4.239610963748895e-05, 'epoch': 0.46}
{'loss': 0.6263, 'grad_norm': 37.55965042114258, 'learning_rate': 4.230769230769231e-05, 'epoch': 0.46}
{'loss': 0.6507, 'grad_norm': 100.25926208496094, 'learning_rate': 4.221927497789567e-05, 'epoch': 0.47}
{'loss': 0.4166, 'grad_norm': 38.33279037475586, 'learning_rate': 4.213085764809903e-05, 'epoch': 0.47}
{'loss': 0.7305, 'grad_norm': 37.755401611328125, 'learning_rate': 4.204244031830239e-05, 'epoch': 0.48}
{'loss': 0.5046, 'grad_norm': 9.220333099365234, 'learning_rate': 4.195402298850575e-05, 'epoch': 0.48}
{'loss': 0.5968, 'grad_norm': 16.053424835205078, 'learning_rate': 4.186560565870911e-05, 'epoch': 0.49}
{'loss': 0.3049, 'grad_norm': 14.273200035095215, 'learning_rate': 4.177718832891247e-05, 'epoch': 0.49}
{'loss': 0.7273, 'grad_norm': 8.341976165771484, 'learning_rate': 4.168877099911583e-05, 'epoch': 0.5}
{'loss': 0.3215, 'grad_norm': 14.200529098510742, 'learning_rate': 4.160035366931919e-05, 'epoch': 0.5}
{'loss': 0.3669, 'grad_norm': 26.059438705444336, 'learning_rate': 4.151193633952255e-05, 'epoch': 0.51}
{'loss': 0.4761, 'grad_norm': 3.4725515842437744, 'learning_rate': 4.142351900972591e-05, 'epoch': 0.51}
{'loss': 0.4069, 'grad_norm': 19.181819915771484, 'learning_rate': 4.1335101679929264e-05, 'epoch': 0.52}
{'loss': 0.4744, 'grad_norm': 11.183852195739746, 'learning_rate': 4.124668435013263e-05, 'epoch': 0.53}
{'loss': 0.5435, 'grad_norm': 7.360522747039795, 'learning_rate': 4.1158267020335985e-05, 'epoch': 0.53}
{'loss': 0.5353, 'grad_norm': 4.345611095428467, 'learning_rate': 4.1069849690539346e-05, 'epoch': 0.54}
{'loss': 0.3923, 'grad_norm': 10.513797760009766, 'learning_rate': 4.098143236074271e-05, 'epoch': 0.54}
{'loss': 0.283, 'grad_norm': 4.053317070007324, 'learning_rate': 4.089301503094607e-05, 'epoch': 0.55}
{'loss': 0.5444, 'grad_norm': 11.2499418258667, 'learning_rate': 4.080459770114943e-05, 'epoch': 0.55}
{'loss': 0.6851, 'grad_norm': 14.361355781555176, 'learning_rate': 4.071618037135278e-05, 'epoch': 0.56}
{'loss': 0.3327, 'grad_norm': 3.999720811843872, 'learning_rate': 4.062776304155615e-05, 'epoch': 0.56}
{'loss': 0.4843, 'grad_norm': 58.47665786743164, 'learning_rate': 4.0539345711759505e-05, 'epoch': 0.57}
{'loss': 0.3678, 'grad_norm': 7.403360843658447, 'learning_rate': 4.0450928381962866e-05, 'epoch': 0.57}
{'loss': 0.514, 'grad_norm': 35.18537139892578, 'learning_rate': 4.036251105216623e-05, 'epoch': 0.58}
{'loss': 0.7041, 'grad_norm': 1.6625311374664307, 'learning_rate': 4.027409372236959e-05, 'epoch': 0.58}
{'loss': 0.5897, 'grad_norm': 28.424591064453125, 'learning_rate': 4.018567639257295e-05, 'epoch': 0.59}
{'loss': 0.4642, 'grad_norm': 13.206679344177246, 'learning_rate': 4.00972590627763e-05, 'epoch': 0.59}
{'loss': 0.5172, 'grad_norm': 14.02527904510498, 'learning_rate': 4.000884173297967e-05, 'epoch': 0.6}
{'loss': 0.9225, 'grad_norm': 22.13848304748535, 'learning_rate': 3.9920424403183025e-05, 'epoch': 0.6}
{'loss': 0.3512, 'grad_norm': 3.3312411308288574, 'learning_rate': 3.9832007073386386e-05, 'epoch': 0.61}
{'loss': 0.6084, 'grad_norm': 15.825118064880371, 'learning_rate': 3.974358974358974e-05, 'epoch': 0.62}
{'loss': 0.4317, 'grad_norm': 22.18393325805664, 'learning_rate': 3.965517241379311e-05, 'epoch': 0.62}
{'loss': 0.2849, 'grad_norm': 15.036922454833984, 'learning_rate': 3.956675508399647e-05, 'epoch': 0.63}
{'loss': 0.3888, 'grad_norm': 7.942162036895752, 'learning_rate': 3.947833775419982e-05, 'epoch': 0.63}
{'loss': 0.5665, 'grad_norm': 10.098156929016113, 'learning_rate': 3.938992042440319e-05, 'epoch': 0.64}
{'loss': 0.5071, 'grad_norm': 2.4606480598449707, 'learning_rate': 3.9301503094606544e-05, 'epoch': 0.64}
{'loss': 0.5193, 'grad_norm': 7.916039943695068, 'learning_rate': 3.9213085764809905e-05, 'epoch': 0.65}
{'loss': 0.518, 'grad_norm': 5.885765552520752, 'learning_rate': 3.912466843501326e-05, 'epoch': 0.65}
{'loss': 0.4955, 'grad_norm': 9.919215202331543, 'learning_rate': 3.903625110521663e-05, 'epoch': 0.66}
{'loss': 0.388, 'grad_norm': 11.676421165466309, 'learning_rate': 3.894783377541998e-05, 'epoch': 0.66}
{'loss': 0.5752, 'grad_norm': 6.326443195343018, 'learning_rate': 3.885941644562334e-05, 'epoch': 0.67}
{'loss': 0.4053, 'grad_norm': 16.777130126953125, 'learning_rate': 3.87709991158267e-05, 'epoch': 0.67}
{'loss': 0.4984, 'grad_norm': 4.31774377822876, 'learning_rate': 3.8682581786030064e-05, 'epoch': 0.68}
{'loss': 0.4721, 'grad_norm': 5.9175519943237305, 'learning_rate': 3.8594164456233425e-05, 'epoch': 0.68}
{'loss': 0.3453, 'grad_norm': 9.282122611999512, 'learning_rate': 3.850574712643678e-05, 'epoch': 0.69}
{'loss': 0.3611, 'grad_norm': 6.743870735168457, 'learning_rate': 3.841732979664015e-05, 'epoch': 0.69}
{'loss': 0.6703, 'grad_norm': 4.557431697845459, 'learning_rate': 3.83289124668435e-05, 'epoch': 0.7}
{'loss': 0.4483, 'grad_norm': 10.113222122192383, 'learning_rate': 3.824049513704686e-05, 'epoch': 0.71}
{'loss': 0.4457, 'grad_norm': 63.205406188964844, 'learning_rate': 3.815207780725022e-05, 'epoch': 0.71}
{'loss': 0.5989, 'grad_norm': 24.185850143432617, 'learning_rate': 3.8063660477453584e-05, 'epoch': 0.72}
{'loss': 0.5406, 'grad_norm': 1.8082818984985352, 'learning_rate': 3.7975243147656945e-05, 'epoch': 0.72}
{'loss': 0.5107, 'grad_norm': 9.504146575927734, 'learning_rate': 3.78868258178603e-05, 'epoch': 0.73}
{'loss': 0.7384, 'grad_norm': 84.04624938964844, 'learning_rate': 3.7798408488063666e-05, 'epoch': 0.73}
{'loss': 0.4929, 'grad_norm': 21.351659774780273, 'learning_rate': 3.770999115826702e-05, 'epoch': 0.74}
{'loss': 0.7644, 'grad_norm': 0.8630168437957764, 'learning_rate': 3.762157382847038e-05, 'epoch': 0.74}
{'loss': 0.6862, 'grad_norm': 61.0689582824707, 'learning_rate': 3.753315649867374e-05, 'epoch': 0.75}
{'loss': 0.4474, 'grad_norm': 13.907920837402344, 'learning_rate': 3.74447391688771e-05, 'epoch': 0.75}
{'loss': 0.2627, 'grad_norm': 11.58098030090332, 'learning_rate': 3.735632183908046e-05, 'epoch': 0.76}
