{'loss': 0.6719, 'grad_norm': 15.953871726989746, 'learning_rate': 4.531388152077807e-05, 'epoch': 0.28}
{'loss': 0.7378, 'grad_norm': 4.457792282104492, 'learning_rate': 4.522546419098144e-05, 'epoch': 0.29}
{'loss': 0.5615, 'grad_norm': 14.726996421813965, 'learning_rate': 4.51370468611848e-05, 'epoch': 0.29}
{'loss': 0.5934, 'grad_norm': 2.4096310138702393, 'learning_rate': 4.504862953138815e-05, 'epoch': 0.3}
{'loss': 0.4191, 'grad_norm': 2.7791969776153564, 'learning_rate': 4.4960212201591514e-05, 'epoch': 0.3}
{'loss': 0.3, 'grad_norm': 1.7082271575927734, 'learning_rate': 4.4871794871794874e-05, 'epoch': 0.31}
{'loss': 0.5477, 'grad_norm': 14.863534927368164, 'learning_rate': 4.4783377541998235e-05, 'epoch': 0.31}
{'loss': 0.5358, 'grad_norm': 3.530115842819214, 'learning_rate': 4.469496021220159e-05, 'epoch': 0.32}
{'loss': 0.4655, 'grad_norm': 4.332594394683838, 'learning_rate': 4.460654288240496e-05, 'epoch': 0.32}
{'loss': 0.4466, 'grad_norm': 29.841577529907227, 'learning_rate': 4.451812555260831e-05, 'epoch': 0.33}
{'loss': 0.4299, 'grad_norm': 10.453023910522461, 'learning_rate': 4.442970822281167e-05, 'epoch': 0.33}
{'loss': 0.6581, 'grad_norm': 4.822111129760742, 'learning_rate': 4.434129089301503e-05, 'epoch': 0.34}
{'loss': 0.4123, 'grad_norm': 28.469507217407227, 'learning_rate': 4.4252873563218394e-05, 'epoch': 0.34}
{'loss': 0.1504, 'grad_norm': 1.459584355354309, 'learning_rate': 4.4164456233421755e-05, 'epoch': 0.35}
{'loss': 0.9198, 'grad_norm': 31.646259307861328, 'learning_rate': 4.407603890362511e-05, 'epoch': 0.36}
{'loss': 0.6087, 'grad_norm': 42.33426284790039, 'learning_rate': 4.398762157382848e-05, 'epoch': 0.36}
{'loss': 0.5646, 'grad_norm': 13.47436809539795, 'learning_rate': 4.389920424403183e-05, 'epoch': 0.37}
{'loss': 0.4512, 'grad_norm': 10.113702774047852, 'learning_rate': 4.381078691423519e-05, 'epoch': 0.37}
{'loss': 0.6451, 'grad_norm': 6.588042736053467, 'learning_rate': 4.372236958443855e-05, 'epoch': 0.38}
{'loss': 0.5267, 'grad_norm': 20.09908103942871, 'learning_rate': 4.3633952254641914e-05, 'epoch': 0.38}
{'loss': 0.3053, 'grad_norm': 1.1524956226348877, 'learning_rate': 4.3545534924845275e-05, 'epoch': 0.39}
{'loss': 0.5096, 'grad_norm': 0.22978177666664124, 'learning_rate': 4.345711759504863e-05, 'epoch': 0.39}
{'loss': 0.2398, 'grad_norm': 9.564571380615234, 'learning_rate': 4.3368700265251996e-05, 'epoch': 0.4}
{'loss': 0.7741, 'grad_norm': 0.9999030828475952, 'learning_rate': 4.328028293545535e-05, 'epoch': 0.4}
{'loss': 0.5816, 'grad_norm': 62.2393913269043, 'learning_rate': 4.319186560565871e-05, 'epoch': 0.41}
{'loss': 0.4113, 'grad_norm': 24.798646926879883, 'learning_rate': 4.3103448275862066e-05, 'epoch': 0.41}
{'loss': 0.5328, 'grad_norm': 7.547658443450928, 'learning_rate': 4.301503094606543e-05, 'epoch': 0.42}
{'loss': 0.3916, 'grad_norm': 14.053302764892578, 'learning_rate': 4.292661361626879e-05, 'epoch': 0.42}
{'loss': 0.5746, 'grad_norm': 31.707027435302734, 'learning_rate': 4.283819628647215e-05, 'epoch': 0.43}
{'loss': 0.4356, 'grad_norm': 19.12623405456543, 'learning_rate': 4.274977895667551e-05, 'epoch': 0.44}
{'loss': 0.6246, 'grad_norm': 29.09043312072754, 'learning_rate': 4.266136162687887e-05, 'epoch': 0.44}
{'loss': 0.4436, 'grad_norm': 5.004029273986816, 'learning_rate': 4.257294429708223e-05, 'epoch': 0.45}
