{'loss': 0.7608, 'grad_norm': 1.050345540046692, 'learning_rate': 1.9964633068081346e-05, 'epoch': 0.01}
{'loss': 1.2419, 'grad_norm': 0.04433080926537514, 'learning_rate': 1.992926613616269e-05, 'epoch': 0.01}
{'loss': 0.9778, 'grad_norm': 67.06414794921875, 'learning_rate': 1.9893899204244035e-05, 'epoch': 0.02}
{'loss': 1.2253, 'grad_norm': 60.231170654296875, 'learning_rate': 1.9858532272325376e-05, 'epoch': 0.02}
{'loss': 0.903, 'grad_norm': 45.56060791015625, 'learning_rate': 1.982316534040672e-05, 'epoch': 0.03}
{'loss': 0.8145, 'grad_norm': 10.233962059020996, 'learning_rate': 1.9787798408488064e-05, 'epoch': 0.03}
{'loss': 0.7309, 'grad_norm': 2.6865484714508057, 'learning_rate': 1.975243147656941e-05, 'epoch': 0.04}
{'loss': 0.8808, 'grad_norm': 2.8558731079101562, 'learning_rate': 1.9717064544650753e-05, 'epoch': 0.04}
{'loss': 1.0959, 'grad_norm': 9.421822547912598, 'learning_rate': 1.9681697612732098e-05, 'epoch': 0.05}
{'loss': 0.6716, 'grad_norm': 7.6647748947143555, 'learning_rate': 1.9646330680813442e-05, 'epoch': 0.05}
{'loss': 0.7264, 'grad_norm': 12.590786933898926, 'learning_rate': 1.9610963748894786e-05, 'epoch': 0.06}
{'loss': 0.6067, 'grad_norm': 1.9075206518173218, 'learning_rate': 1.9575596816976127e-05, 'epoch': 0.06}
{'loss': 0.49, 'grad_norm': 4.027196884155273, 'learning_rate': 1.9540229885057475e-05, 'epoch': 0.07}
{'loss': 0.8376, 'grad_norm': 49.749107360839844, 'learning_rate': 1.9504862953138816e-05, 'epoch': 0.07}
{'loss': 0.5797, 'grad_norm': 55.3406982421875, 'learning_rate': 1.946949602122016e-05, 'epoch': 0.08}
{'loss': 0.5502, 'grad_norm': 29.531036376953125, 'learning_rate': 1.9434129089301505e-05, 'epoch': 0.08}
{'loss': 0.5472, 'grad_norm': 4.113175868988037, 'learning_rate': 1.939876215738285e-05, 'epoch': 0.09}
{'loss': 0.7596, 'grad_norm': 25.704246520996094, 'learning_rate': 1.9363395225464193e-05, 'epoch': 0.1}
{'loss': 0.5581, 'grad_norm': 13.285439491271973, 'learning_rate': 1.9328028293545534e-05, 'epoch': 0.1}
{'loss': 0.6223, 'grad_norm': 2.827176332473755, 'learning_rate': 1.9292661361626882e-05, 'epoch': 0.11}
{'loss': 0.6367, 'grad_norm': 9.736597061157227, 'learning_rate': 1.9257294429708223e-05, 'epoch': 0.11}
{'loss': 0.6213, 'grad_norm': 4.065637111663818, 'learning_rate': 1.9221927497789568e-05, 'epoch': 0.12}
{'loss': 0.5491, 'grad_norm': 11.13430118560791, 'learning_rate': 1.9186560565870912e-05, 'epoch': 0.12}
{'loss': 0.5612, 'grad_norm': 22.062585830688477, 'learning_rate': 1.9151193633952256e-05, 'epoch': 0.13}
{'loss': 0.7529, 'grad_norm': 6.841664791107178, 'learning_rate': 1.91158267020336e-05, 'epoch': 0.13}
{'loss': 0.6682, 'grad_norm': 47.27277374267578, 'learning_rate': 1.908045977011494e-05, 'epoch': 0.14}
{'loss': 0.4599, 'grad_norm': 19.290287017822266, 'learning_rate': 1.904509283819629e-05, 'epoch': 0.14}
{'loss': 0.419, 'grad_norm': 5.445910930633545, 'learning_rate': 1.900972590627763e-05, 'epoch': 0.15}
{'loss': 0.6118, 'grad_norm': 5.285126209259033, 'learning_rate': 1.8974358974358975e-05, 'epoch': 0.15}
{'loss': 0.8119, 'grad_norm': 6.603408336639404, 'learning_rate': 1.893899204244032e-05, 'epoch': 0.16}
{'loss': 0.3986, 'grad_norm': 31.894662857055664, 'learning_rate': 1.8903625110521663e-05, 'epoch': 0.16}
{'loss': 0.7106, 'grad_norm': 32.20176315307617, 'learning_rate': 1.8868258178603008e-05, 'epoch': 0.17}
{'loss': 0.6617, 'grad_norm': 37.9079704284668, 'learning_rate': 1.8832891246684352e-05, 'epoch': 0.18}
{'loss': 0.3072, 'grad_norm': 15.707616806030273, 'learning_rate': 1.8797524314765697e-05, 'epoch': 0.18}
{'loss': 0.7031, 'grad_norm': 33.37273406982422, 'learning_rate': 1.876215738284704e-05, 'epoch': 0.19}
{'loss': 0.5993, 'grad_norm': 14.456586837768555, 'learning_rate': 1.8726790450928382e-05, 'epoch': 0.19}
{'loss': 0.5781, 'grad_norm': 30.375530242919922, 'learning_rate': 1.869142351900973e-05, 'epoch': 0.2}
{'loss': 0.5709, 'grad_norm': 34.4752311706543, 'learning_rate': 1.865605658709107e-05, 'epoch': 0.2}
{'loss': 0.5757, 'grad_norm': 63.08148956298828, 'learning_rate': 1.8620689655172415e-05, 'epoch': 0.21}
{'loss': 0.5793, 'grad_norm': 27.58387565612793, 'learning_rate': 1.858532272325376e-05, 'epoch': 0.21}
{'loss': 0.5748, 'grad_norm': 54.44003677368164, 'learning_rate': 1.8549955791335104e-05, 'epoch': 0.22}
{'loss': 0.4704, 'grad_norm': 10.007022857666016, 'learning_rate': 1.8514588859416448e-05, 'epoch': 0.22}
{'loss': 0.4629, 'grad_norm': 27.82145118713379, 'learning_rate': 1.847922192749779e-05, 'epoch': 0.23}
{'loss': 0.3512, 'grad_norm': 12.033445358276367, 'learning_rate': 1.8443854995579137e-05, 'epoch': 0.23}
{'loss': 0.4009, 'grad_norm': 3.318976402282715, 'learning_rate': 1.8408488063660478e-05, 'epoch': 0.24}
{'loss': 0.4969, 'grad_norm': 1.236759901046753, 'learning_rate': 1.8373121131741822e-05, 'epoch': 0.24}
{'loss': 1.4967, 'grad_norm': 117.39032745361328, 'learning_rate': 1.8337754199823167e-05, 'epoch': 0.25}
